Section,Item_ID,Description,Done
Infrastructure & Environment,1.1,Install PostgreSQL,
Infrastructure & Environment,1.2,Install PostGIS extension (CREATE EXTENSION postgis;),
Infrastructure & Environment,1.3,Create application database and user,
Infrastructure & Environment,1.4,Verify minimum server specs (8 cores 16 GB RAM 200 GB SSD) or document deviations,
Backend Project Structure,2.1,app/main.py - FastAPI app entry CORS router includes,
Backend Project Structure,2.2,app/core/config.py - env vars settings,
Backend Project Structure,2.3,app/core/database.py - engine session connection handling,
Backend Project Structure,2.4,app/models/ - SQLAlchemy models,
Backend Project Structure,2.5,app/schemas/ - Pydantic request/response schemas,
Backend Project Structure,2.6,app/api/upload.py - upload routes,
Backend Project Structure,2.7,app/api/matching.py - matching execution routes,
Backend Project Structure,2.8,app/api/kpi.py - KPI retrieval routes,
Backend Project Structure,2.9,app/api/dashboard.py - dashboard/risk-map routes,
Backend Project Structure,2.1,app/services/pdf_parser.py - PDF parsing (if required),
Backend Project Structure,2.11,app/services/normalization.py - name/address normalization,
Backend Project Structure,2.12,app/services/matching_engine.py - EPIC + fuzzy matching,
Backend Project Structure,2.13,app/services/kpi_engine.py - booth/constituency KPI calculation,
Backend Project Structure,2.14,app/utils/ - shared helpers,
Backend Project Structure,2.15,requirements.txt - FastAPI Uvicorn SQLAlchemy psycopg2 pandas rapidfuzz geoalchemy2,
Backend Project Structure,2.16,Alembic (or equivalent) configured for migrations,
Database Schema,3.1,Table constituencies - id name district state created_at,
Database Schema,3.2,Table booths - id constituency_id booth_number location_name geom Point 4326 created_at,
Database Schema,3.3,Table voters_pre_sir - id epic_number name relative_name age gender house_no address booth_id normalized_name normalized_address,
Database Schema,3.4,Table voters_post_sir - same structure as voters_pre_sir,
Database Schema,3.5,Table voter_match_results - id pre_voter_id post_voter_id classification match_score created_at,
Database Schema,3.6,Table booth_kpis - booth_id total_pre total_post additions deletions net_change_percent deletion_velocity youth_intake_percent gender_shift_percent risk_category,
Database Schema,3.7,Index: CREATE INDEX idx_epic_pre ON voters_pre_sir(epic_number),
